,data,#1 GFlop/s,#500 GFlop/s,Sum GFlop/s
0,06/1993,59.7,0.422,1122.845
1,11/1993,124.0,0.472,1466.21
2,06/1994,143.4,0.822,2233.8819999999996
3,11/1994,170.0,1.114,2622.3379999999997
4,06/1995,170.0,1.955,3927.029
5,11/1995,170.0,2.489,4784.547
6,06/1996,220.4,3.306,5894.544
7,11/1996,368.2,4.62,7981.229
8,06/1997,1068.0,7.67,12844.358
9,11/1997,1338.0,9.513,16898.131
10,06/1998,1338.0,13.39,22625.134000000002
11,11/1998,1338.0,17.12,29367.613999999998
12,06/1999,2121.0,24.7,39062.579
13,11/1999,2379.0,33.09,50938.556000000004
14,06/2000,2379.0,43.82,64230.106
15,11/2000,4938.0,55.3,88080.876
16,06/2001,7226.0,67.78,108275.86600000001
17,11/2001,7226.0,94.3,134977.506
18,06/2002,35860.0,134.3,222245.166
19,11/2002,35860.0,195.8,292713.56
20,06/2003,35860.0,245.1,373063.56
21,11/2003,35860.0,402.5,529241.568
22,06/2004,35860.0,624.258,814895.674
23,11/2004,70720.0,850.6,1130916.756
24,06/2005,136800.0,1166.0,1694716.6400000001
25,11/2005,280600.0,1645.7,2298496.69
26,06/2006,280600.0,2026.0,2790054.02
27,11/2006,280600.0,2736.9,3527458.3500000006
28,06/2007,280600.0,4005.0,4946586.05
29,11/2007,478200.0,5929.6,6966169.82
30,06/2008,1026000.0,8996.78,11700016.97
31,11/2008,1105000.0,12593.5,16927325.8
32,06/2009,1105000.0,17088.8,22607996.299999997
33,11/2009,1759000.0,20051.0,27977501.799999997
34,06/2010,1759000.0,24670.0,32434683.700000003
35,11/2010,2566000.0,31112.2,43673092.5
36,06/2011,8162000.0,40187.3,58930025.6
37,11/2011,10510000.0,50941.4,74069633.67999999
38,06/2012,16324751.0,60824.4,123417786.71
39,11/2012,17590000.0,76411.0,162139386.75
40,06/2013,33862700.0,96619.0,223654338.12999997
41,11/2013,33862700.0,117831.3,250080467.17000002
42,06/2014,33862700.0,133700.0,273763781.09000003
43,11/2014,33862700.0,153381.0,308850512.09
44,06/2015,33862700.0,164790.72,362652490.36
45,11/2015,33862700.0,206304.0,417807043.6
46,06/2016,93014593.88,286100.0,567353038.81
47,11/2016,93014593.88,349333.0,672112377.4899999
48,06/2017,93014594.0,430459.0,748371889.0
49,11/2017,93014593.88,548672.0,845120504.67
50,06/2018,122300000.0,715551.0,1210914864.08
51,11/2018,143500000.0,874800.0,1414955581.7800002
52,06/2019,148600000.0,1021000.0,1559575379.7799997
53,11/2019,148600000.0,1142000.0,1646887142.78
54,06/2020,415530000.0,1228000.0,2206134400.0000005
